Status,Block Number,Base,Date,Plane Type,Stays With Plane,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time
Locked,1,SFO,2,319,True,740,SFO,0700,SEA,0905
Locked,1,SFO,2,319,False,753,SEA,0950,SFO,1155
Locked,2,SFO,3,320,True,12,SFO,0700,JFK,1530
Locked,2,SFO,3,DHD,False,27,JFK,1630,SFO,2010
Locked,3,SFO,3,319,True,740,SFO,0700,SEA,0905
Locked,3,SFO,3,319,True,753,SEA,0950,SFO,1155
Locked,3,SFO,3,319,False,928,SFO,1315,LAX,1430
Locked,3,SFO,3,319,False,933,LAX,1540,SFO,1700
Locked,3,SFO,4,319,True,740,SFO,0700,SEA,0905
Locked,3,SFO,4,319,True,753,SEA,0950,SFO,1155
Locked,3,SFO,4,319,False,928,SFO,1315,LAX,1430
Locked,3,SFO,4,319,False,933,LAX,1540,SFO,1700
Locked,4,SFO,7,320,True,710,SFO,0720,DFW,1245
Locked,4,SFO,7,320,False,715,DFW,1335,SFO,1525
Locked,5,SFO,16,320,True,710,SFO,0720,DFW,1240
Locked,5,SFO,16,320,False,715,DFW,1335,SFO,1530
Locked,5,SFO,23,320,True,710,SFO,0720,DFW,1240
Locked,5,SFO,23,320,False,715,DFW,1335,SFO,1530
Locked,6,SFO,10,319,True,202,SFO,0725,ORD,1335
Locked,6,SFO,10,DHD,False,205,ORD,1430,SFO,1715
Locked,7,SFO,24,319,True,202,SFO,0725,ORD,1335
Locked,7,SFO,24,DHD,False,205,ORD,1430,SFO,1715
Unlocked,8,SFO,12,DHD,False,1930,SFO,0800,LAX,0920
Unlocked,8,SFO,12,320,False,927,LAX,1125,SFO,1245
Unlocked,8,SFO,19,DHD,False,1930,SFO,0800,LAX,0920
Unlocked,8,SFO,19,320,False,927,LAX,1125,SFO,1245
Unlocked,8,SFO,26,DHD,False,1930,SFO,0800,LAX,0920
Unlocked,8,SFO,26,320,False,927,LAX,1125,SFO,1245
Locked,9,SFO,4,320,True,284,SFO,0805,CUN,1530
Locked,9,SFO,4,DHD,False,283,CUN,1630,SFO,2050
Locked,10,SFO,6,320,True,340,SFO,0805,FLL,1625
Locked,10,SFO,6,DHD,False,347,FLL,1720,SFO,2040
Locked,10,SFO,7,320,True,340,SFO,0805,FLL,1625
Locked,10,SFO,7,DHD,False,347,FLL,1720,SFO,2040
Locked,11,SFO,11,320,True,284,SFO,0805,CUN,1530
Locked,11,SFO,11,DHD,False,283,CUN,1630,SFO,2100
Locked,11,SFO,18,320,True,284,SFO,0805,CUN,1530
Locked,11,SFO,18,DHD,False,283,CUN,1630,SFO,2100
Locked,11,SFO,25,320,True,284,SFO,0805,CUN,1530
Locked,11,SFO,25,DHD,False,283,CUN,1630,SFO,2100
Locked,12,SFO,11,320,True,6902,SFO,0810,RNO,0900
Locked,12,SFO,11,DHD,True,6003,RNO,1000,PVR,1610
Locked,12,SFO,11,DHD,False,1275,PVR,1710,SFO,1905
Locked,13,SFO,11,DHD,True,6902,SFO,0810,RNO,0900
Locked,13,SFO,11,320,True,6003,RNO,1000,PVR,1610
Locked,13,SFO,11,320,False,1275,PVR,1710,SFO,1905
Locked,14,SFO,11,320,True,340,SFO,0810,FLL,1625
Locked,14,SFO,11,DHD,False,347,FLL,1720,SFO,2050
Locked,14,SFO,13,320,True,340,SFO,0810,FLL,1625
Locked,14,SFO,13,DHD,False,347,FLL,1720,SFO,2050
Locked,15,SFO,18,DHD,True,6902,SFO,0810,RNO,0900
Locked,15,SFO,18,320,True,6003,RNO,1000,PVR,1610
Locked,15,SFO,18,320,True,6014,PVR,1710,RNO,1900
Locked,15,SFO,18,DHD,False,6903,RNO,2000,SFO,2055
Locked,16,SFO,20,320,True,340,SFO,0810,FLL,1625
Locked,16,SFO,20,DHD,False,347,FLL,1720,SFO,2050
Locked,16,SFO,27,320,True,340,SFO,0810,FLL,1625
Locked,16,SFO,27,DHD,False,347,FLL,1720,SFO,2050
Locked,17,SFO,1,319,True,902,SFO,0900,LAS,1030
Locked,17,SFO,1,319,False,905,LAS,1110,SFO,1245
Locked,17,SFO,1,319,True,908,SFO,1440,LAS,1610
Locked,17,SFO,1,319,False,919,LAS,1655,SFO,1825
Locked,17,SFO,4,319,True,902,SFO,0900,LAS,1030
Locked,17,SFO,4,319,False,905,LAS,1110,SFO,1245
Locked,17,SFO,4,319,True,908,SFO,1440,LAS,1610
Locked,17,SFO,4,319,False,919,LAS,1655,SFO,1825
Locked,18,SFO,11,319,True,902,SFO,0900,LAS,1025
Locked,18,SFO,11,319,False,905,LAS,1110,SFO,1240
Locked,18,SFO,11,319,True,25,SFO,1400,PSP,1520
Locked,18,SFO,11,319,False,30,PSP,1605,SFO,1730
Locked,19,SFO,18,319,True,925,SFO,0905,PDX,1050
Locked,19,SFO,18,319,True,817,PDX,1135,SFO,1315
Locked,19,SFO,18,319,True,25,SFO,1400,PSP,1520
Locked,19,SFO,18,319,False,30,PSP,1605,SFO,1730
Locked,20,SFO,4,320,True,270,SFO,0930,PVR,1505
Locked,20,SFO,4,320,False,273,PVR,1605,SFO,1800
Locked,21,SFO,22,320,True,270,SFO,0930,PVR,1505
Locked,21,SFO,22,320,False,273,PVR,1605,SFO,1800
Locked,22,SFO,1,319,True,956,SFO,1005,SAN,1135
Locked,22,SFO,1,319,False,961,SAN,1215,SFO,1350
Locked,22,SFO,1,319,True,25,SFO,1600,PSP,1725
